Year,Scientific Name,Country,Conservation Status
2022,Crocodylus suchus,Sudan,Least Concern
2005,Crocodylus palustris,Sri Lanka,Vulnerable
2023,Crocodylus suchus,Mali,Least Concern
2014,Osteolaemus tetraspis,Sierra Leone,Vulnerable
2024,Osteolaemus tetraspis,Guinea,Vulnerable
2007,Crocodylus porosus,Papua New Guinea,Least Concern
2025,Mecistops cataphractus,Sierra Leone,Critically Endangered
2017,Mecistops leptorhynchus,Cameroon,Endangered
2009,Mecistops cataphractus,Ivory Coast,Critically Endangered
2016,Crocodylus palustris,Sri Lanka,Vulnerable
2018,Mecistops leptorhynchus,Cameroon,Endangered
2008,Crocodylus acutus,Cuba,Vulnerable
2019,Crocodylus rhombifer,Cuba,Critically Endangered
2010,Mecistops leptorhynchus,Republic Of Congo,Endangered
2012,Crocodylus niloticus,Tanzania,Least Concern
2012,Mecistops cataphractus,Nigeria,Critically Endangered
2012,Crocodylus intermedius,Colombia,Critically Endangered
2012,Crocodylus suchus,Chad,Least Concern
2021,Crocodylus niloticus,Tanzania,Least Concern
2015,Mecistops leptorhynchus,Gabon,Endangered
2012,Mecistops cataphractus,Guinea,Critically Endangered
2020,Crocodylus moreletii,Belize,Least Concern
2025,Crocodylus suchus,Chad,Least Concern
2012,Osteolaemus tetraspis,Sierra Leone,Vulnerable
2008,Crocodylus palustris,Iran,Vulnerable
2009,Crocodylus suchus,Sudan,Least Concern
2022,Crocodylus halli,Papua New Guinea,Least Concern
2012,Crocodylus niloticus,Egypt,Least Concern
2007,Mecistops cataphractus,Nigeria,Critically Endangered
2015,Crocodylus suchus,Mauritania,Least Concern
2023,Crocodylus halli,Papua New Guinea,Least Concern
2014,Mecistops cataphractus,Ivory Coast,Critically Endangered
2010,Mecistops cataphractus,Sierra Leone,Critically Endangered
